Provider,PotentialFraud,inpatient_claims,inpatient_total_reimbursed,inpatient_avg_reimbursed,inpatient_std_reimbursed,inpatient_total_deductible,outpatient_claims,outpatient_total_reimbursed,outpatient_avg_reimbursed,outpatient_std_reimbursed,total_claims,total_reimbursed,avg_reimbursed_per_claim,inpatient_ratio,cv_inpatient,cv_outpatient
PRV51001,No,5.0,97000.0,19400.0,18352.11159512714,5340.0,20.0,7640.0,382.0,422.817616522899,25.0,104640.0,4024.6153846153848,0.19230769230769232,0.9459363741625245,1.1039624452295014
PRV51003,Yes,62.0,573000.0,9241.935483870968,8513.606243799273,66216.0,70.0,32670.0,466.7142857142857,821.3645793779573,132.0,605670.0,4553.909774436091,0.46616541353383456,0.9210933321622354,1.756124635200275
PRV51004,No,0.0,0.0,0.0,0.0,0.0,149.0,52170.0,350.13422818791946,689.9637540197714,149.0,52170.0,347.8,0.0,0.0,1.964957268849671
PRV51005,Yes,0.0,0.0,0.0,0.0,0.0,1165.0,280910.0,241.1244635193133,491.556391867259,1165.0,280910.0,240.91766723842196,0.0,0.0,2.030180613401956
PRV51007,No,3.0,19000.0,6333.333333333333,3511.884584284246,3204.0,69.0,14710.0,213.18840579710144,447.2316571506486,72.0,33710.0,461.7808219178082,0.0410958904109589,0.5544205521682228,2.08802925390045
PRV51008,No,2.0,25000.0,12500.0,12020.815280171308,2136.0,41.0,10630.0,259.2682926829268,404.0383041488916,43.0,35630.0,809.7727272727273,0.045454545454545456,0.9615882953500766,1.5523915724959756
PRV51011,No,1.0,5000.0,5000.0,0.0,1068.0,57.0,11630.0,204.03508771929825,310.7873621322992,58.0,16630.0,281.864406779661,0.01694915254237288,0.0,1.5157764731360535
PRV51012,No,0.0,0.0,0.0,0.0,0.0,48.0,16890.0,351.875,707.8936578689371,48.0,16890.0,344.6938775510204,0.0,0.0,2.0060748363271332
PRV51013,No,0.0,0.0,0.0,0.0,0.0,46.0,14880.0,323.4782608695652,471.622341339171,46.0,14880.0,316.59574468085106,0.0,0.0,1.4534790098889099
PRV51014,No,0.0,0.0,0.0,0.0,0.0,30.0,10480.0,349.3333333333333,822.984196996362,30.0,10480.0,338.06451612903226,0.0,0.0,2.34914613795346
PRV51015,No,0.0,0.0,0.0,0.0,0.0,8.0,700.0,87.5,74.01737247816507,8.0,700.0,77.77777777777777,0.0,0.0,0.8363544912787014
PRV51016,No,0.0,0.0,0.0,0.0,0.0,6.0,170.0,28.333333333333332,37.638632635454044,6.0,170.0,24.285714285714285,0.0,0.0,1.2831352034813879
PRV51017,No,0.0,0.0,0.0,0.0,0.0,515.0,142720.0,277.126213592233,570.1818038894332,515.0,142720.0,276.5891472868217,0.0,0.0,2.050082933661871
